Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	 	5.754E-4	4.396E-1	3.997E-2	2.884E-1	2	4	INPP5D,INPP5J
GO: Molecular Function	GO:0044877	macromolecular complex binding	 	7.360E-4	5.623E-1	4.686E-2	3.381E-1	30	1641	HDAC4,HLA-DOB,SPTBN1,GATA3,PHF21A,PTK2B,PARP1,FCER2,SACS,FMN1,GNA12,GNB1,BAHCC1,DDR1,DPYSL2,TCF3,ZEB1,SHMT2,RUNX2,CBFA2T3,TERF1,LETM1,CCDC155,FOXP1,CD81,RERE,FYN,PIK3R5,MYO16,SORL1
GO: Biological Process	GO:0042113	B cell activation	 	8.737E-9	3.278E-5	2.712E-5	2.388E-4	16	261	HDAC4,INPP5D,BLNK,IKZF1,PTK2B,PLCG2,BANK1,RAG1,TCF3,POU2F2,TLR9,DCLRE1C,TNFRSF13C,FOXP1,CD81,CTPS1
GO: Biological Process	GO:0045321	leukocyte activation	 	1.800E-8	6.755E-5	2.712E-5	2.388E-4	28	833	ABR,HDAC4,INPP5D,BLNK,GATA3,IKZF1,ITPKB,PTK2B,MAD1L1,PLA2G10,PLCG2,BANK1,CNR1,RAG1,TCF3,TRPV1,ZEB1,POU2F2,NR1H3,TLR9,RUNX2,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,CTPS1,FYN
GO: Biological Process	GO:0001775	cell activation	 	2.168E-8	8.135E-5	2.712E-5	2.388E-4	31	1007	ABR,HDAC4,INPP5D,BLNK,GATA3,IKZF1,ITPKB,PTK2B,MAD1L1,PLA2G10,GNA12,PLCG2,GNB1,BANK1,CNR1,RAG1,TCF3,TRPV1,ZEB1,POU2F2,NR1H3,TLR9,RUNX2,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,CTPS1,FYN,PIK3R5
GO: Biological Process	GO:0030183	B cell differentiation	 	9.101E-8	3.415E-4	8.537E-5	7.519E-4	11	132	HDAC4,INPP5D,BLNK,IKZF1,PTK2B,PLCG2,RAG1,TCF3,POU2F2,DCLRE1C,FOXP1
GO: Biological Process	GO:0002521	leukocyte differentiation	 	4.487E-7	1.684E-3	3.367E-4	2.966E-3	20	535	HDAC4,SPIB,INPP5D,BLNK,GATA3,IKZF1,ITPKB,PTK2B,PARP1,PLCG2,LILRB4,RAG1,TCF3,ZEB1,POU2F2,RUNX2,CBFA2T3,DCLRE1C,FOXP1,PRKCZ
GO: Biological Process	GO:0030098	lymphocyte differentiation	 	6.963E-7	2.612E-3	4.075E-4	3.589E-3	16	359	HDAC4,INPP5D,BLNK,GATA3,IKZF1,ITPKB,PTK2B,PLCG2,RAG1,TCF3,ZEB1,POU2F2,RUNX2,DCLRE1C,FOXP1,PRKCZ
GO: Biological Process	GO:0046649	lymphocyte activation	 	7.603E-7	2.853E-3	4.075E-4	3.589E-3	23	712	HDAC4,INPP5D,BLNK,GATA3,IKZF1,ITPKB,PTK2B,MAD1L1,PLCG2,BANK1,RAG1,TCF3,ZEB1,POU2F2,TLR9,RUNX2,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,CTPS1,FYN
GO: Biological Process	GO:0006955	immune response	 	2.281E-6	8.559E-3	1.070E-3	9.423E-3	36	1577	ABR,MYO1C,HLA-DOB,TRIM26,INPP5D,PELI3,BLNK,GATA3,IRF2,VPREB3,BLK,PTK2B,FCER2,NFKBIL1,CCR6,PLCG2,LY86,CNR1,LILRB4,RAG1,ZEB1,TCF12,CAMK2A,TRIM31,SHMT2,POU2F2,NR1H3,ST6GAL1,TLR9,CD19,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,FYN
GO: Biological Process	GO:0002694	regulation of leukocyte activation	 	4.347E-6	1.631E-2	1.812E-3	1.596E-2	18	514	ABR,INPP5D,GATA3,IKZF1,ITPKB,MAD1L1,PLA2G10,BANK1,CNR1,RAG1,TCF3,ZEB1,NR1H3,TLR9,TNFRSF13C,CD81,PRKCZ,FYN
GO: Biological Process	GO:0050865	regulation of cell activation	 	1.209E-5	4.535E-2	4.535E-3	3.994E-2	18	554	ABR,INPP5D,GATA3,IKZF1,ITPKB,MAD1L1,PLA2G10,BANK1,CNR1,RAG1,TCF3,ZEB1,NR1H3,TLR9,TNFRSF13C,CD81,PRKCZ,FYN
GO: Biological Process	GO:0043279	response to alkaloid	 	2.947E-5	1.106E-1	1.005E-2	8.854E-2	9	157	EFTUD2,PTK2B,PARP1,CNR1,DPYSL2,TRPV1,TLR9,SLC8A1,PEA15
GO: Biological Process	GO:0033151	V(D)J recombination	 	3.348E-5	1.256E-1	1.047E-2	9.220E-2	4	19	RAG1,TCF3,DCLRE1C,FOXP1
GO: Biological Process	GO:0032845	negative regulation of homeostatic process	 	4.433E-5	1.663E-1	1.279E-2	1.127E-1	10	206	INPP5D,ITPKB,PTK2B,PARP1,PLCG2,TRPV1,RASA3,TERF1,SLC8A1,CD19
GO: Biological Process	GO:0010243	response to organonitrogen compound	 	5.850E-5	2.195E-1	1.467E-2	1.292E-1	22	867	ATP6V1G2,MYO1C,EFTUD2,PTK2B,PARP1,MGMT,SIK2,PLCG2,GNB1,PDGFC,CNR1,GPD1,DPYSL2,TRPV1,ZEB1,CAMK2A,TLR9,ZNF106,SLC8A1,PRKCZ,FYN,PEA15
GO: Biological Process	GO:0043254	regulation of protein complex assembly	 	5.868E-5	2.202E-1	1.467E-2	1.292E-1	14	404	MYO1C,SPTBN1,IKZF1,BLK,PTK2B,PARP1,FMN1,TBCD,MPP7,RALB,TERF1,PRKCZ,INPP5J,SORL1
GO: Biological Process	GO:0010558	negative regulation of macromolecule biosynthetic process	 	6.256E-5	2.347E-1	1.467E-2	1.292E-1	32	1545	HDAC4,INPP5D,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BANK1,MOV10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TERF1,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0002682	regulation of immune system process	 	1.023E-4	3.838E-1	2.233E-2	1.967E-1	31	1514	ABR,MYO1C,HLA-DOB,INPP5D,PELI3,GATA3,IKZF1,VPREB3,ITPKB,BLK,PTK2B,FCER2,MAD1L1,NFKBIL1,PLA2G10,CCR6,PLCG2,BANK1,CNR1,LILRB4,RAG1,TCF3,ZEB1,NR1H3,TLR9,CD19,TNFRSF13C,FOXP1,CD81,PRKCZ,FYN
GO: Biological Process	GO:0048534	hematopoietic or lymphoid organ development	 	1.092E-4	4.098E-1	2.233E-2	1.967E-1	22	905	HDAC4,SPIB,INPP5D,BLNK,GATA3,ETV6,IKZF1,ITPKB,PTK2B,PARP1,MAD1L1,PLCG2,LILRB4,RAG1,TCF3,ZEB1,POU2F2,RUNX2,CBFA2T3,DCLRE1C,FOXP1,PRKCZ
GO: Biological Process	GO:2000113	negative regulation of cellular macromolecule biosynthetic process	 	1.203E-4	4.512E-1	2.233E-2	1.967E-1	30	1456	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BANK1,MOV10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TERF1,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0002684	positive regulation of immune system process	 	1.274E-4	4.779E-1	2.233E-2	1.967E-1	23	980	MYO1C,INPP5D,PELI3,GATA3,IKZF1,ITPKB,BLK,PTK2B,FCER2,NFKBIL1,CCR6,PLCG2,CNR1,RAG1,TCF3,NR1H3,TLR9,CD19,TNFRSF13C,FOXP1,CD81,PRKCZ,FYN
GO: Biological Process	GO:1901698	response to nitrogen compound	 	1.312E-4	4.924E-1	2.233E-2	1.967E-1	23	982	ATP6V1G2,MYO1C,EFTUD2,PTK2B,PARP1,MGMT,SIK2,PLCG2,GNB1,PDGFC,CNR1,GPD1,RALB,DPYSL2,TRPV1,ZEB1,CAMK2A,TLR9,ZNF106,SLC8A1,PRKCZ,FYN,PEA15
GO: Biological Process	GO:1902679	negative regulation of RNA biosynthetic process	 	1.315E-4	4.934E-1	2.233E-2	1.967E-1	28	1322	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0031327	negative regulation of cellular biosynthetic process	 	1.369E-4	5.136E-1	2.233E-2	1.967E-1	32	1611	HDAC4,INPP5D,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BANK1,MOV10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TERF1,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0030097	hemopoiesis	 	1.438E-4	5.395E-1	2.248E-2	1.980E-1	21	858	HDAC4,SPIB,INPP5D,BLNK,GATA3,ETV6,IKZF1,ITPKB,PTK2B,PARP1,PLCG2,LILRB4,RAG1,TCF3,ZEB1,POU2F2,RUNX2,CBFA2T3,DCLRE1C,FOXP1,PRKCZ
GO: Biological Process	GO:0045892	negative regulation of transcription, DNA-templated	 	1.549E-4	5.812E-1	2.325E-2	2.047E-1	27	1265	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0051249	regulation of lymphocyte activation	 	1.741E-4	6.533E-1	2.438E-2	2.147E-1	14	448	INPP5D,GATA3,IKZF1,ITPKB,MAD1L1,BANK1,RAG1,TCF3,ZEB1,TLR9,TNFRSF13C,CD81,PRKCZ,FYN
GO: Biological Process	GO:0010629	negative regulation of gene expression	 	1.794E-4	6.733E-1	2.438E-2	2.147E-1	32	1635	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BANK1,MOV10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TCL1A,FOXP1,RERE,RIPPLY1,FYN
GO: Biological Process	GO:0060341	regulation of cellular localization	 	1.820E-4	6.827E-1	2.438E-2	2.147E-1	29	1419	ABR,MYO1C,SPTBN1,SYTL2,GATA3,VPREB3,BLK,PTK2B,PARP1,NFKBIE,MAD1L1,NFKBIL1,BANK1,CNR1,RALB,SH3TC2,DPYSL2,CAMK2A,NR1H3,TLR9,PNKD,TERF1,SLC8A1,CELSR1,CD19,FOXP1,PRKCZ,FYN,SORL1
GO: Biological Process	GO:0009890	negative regulation of biosynthetic process	 	1.939E-4	7.276E-1	2.479E-2	2.183E-1	32	1642	HDAC4,INPP5D,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BANK1,MOV10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TERF1,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0051172	negative regulation of nitrogen compound metabolic process	 	2.004E-4	7.520E-1	2.479E-2	2.183E-1	32	1645	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BANK1,MOV10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TERF1,FOXP1,RERE,RIPPLY1,SORL1
GO: Biological Process	GO:0046488	phosphatidylinositol metabolic process	 	2.121E-4	7.957E-1	2.479E-2	2.183E-1	9	203	INPP5D,PITPNC1,PLA2G10,PLCG2,TLR9,CD19,FYN,PIK3R5,INPP5J
GO: Biological Process	GO:0048812	neuron projection morphogenesis	 	2.186E-4	8.202E-1	2.479E-2	2.183E-1	17	633	SPTBN1,GATA3,TUBB3,FMN1,PLA2G10,DDR1,DPYSL2,CAMK2A,TLR9,SLIT1,PLXNA4,DNM3,FOXP1,PRKCZ,RERE,FYN,MYO16
GO: Biological Process	GO:0042220	response to cocaine	 	2.208E-4	8.283E-1	2.479E-2	2.183E-1	5	55	EFTUD2,PTK2B,PARP1,CNR1,DPYSL2
GO: Biological Process	GO:0071417	cellular response to organonitrogen compound	 	2.335E-4	8.760E-1	2.479E-2	2.183E-1	15	518	ATP6V1G2,MYO1C,PARP1,SIK2,GNB1,PDGFC,GPD1,TRPV1,ZEB1,CAMK2A,TLR9,ZNF106,SLC8A1,PRKCZ,FYN
GO: Biological Process	GO:0002520	immune system development	 	2.373E-4	8.902E-1	2.479E-2	2.183E-1	22	956	HDAC4,SPIB,INPP5D,BLNK,GATA3,ETV6,IKZF1,ITPKB,PTK2B,PARP1,MAD1L1,PLCG2,LILRB4,RAG1,TCF3,ZEB1,POU2F2,RUNX2,CBFA2T3,DCLRE1C,FOXP1,PRKCZ
GO: Biological Process	GO:0051253	negative regulation of RNA metabolic process	 	2.378E-4	8.924E-1	2.479E-2	2.183E-1	28	1370	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:1903507	negative regulation of nucleic acid-templated transcription	 	2.622E-4	9.837E-1	2.604E-2	2.294E-1	27	1307	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0044087	regulation of cellular component biogenesis	 	2.638E-4	9.897E-1	2.604E-2	2.294E-1	20	832	HDAC4,MYO1C,SPTBN1,TBC1D7,IKZF1,BLK,PTK2B,PARP1,SACS,FMN1,TBCD,MPP7,RALB,TERF1,SLIT1,DNM3,PRKCZ,MDGA1,INPP5J,SORL1
GO: Biological Process	GO:0045658	regulation of neutrophil differentiation	 	2.969E-4	1.000E0	2.857E-2	2.516E-1	2	3	INPP5D,IKZF1
GO: Biological Process	GO:1901700	response to oxygen-containing compound	 	3.225E-4	1.000E0	3.025E-2	2.664E-1	31	1615	ATP6V1G2,ABR,MYO1C,RPS6KA2,CDK19,GATA3,EFTUD2,PTK2B,PARP1,MGMT,NFKBIL1,SIK2,PLCG2,GNB1,PDGFC,LY86,CNR1,GPD1,DPYSL2,TCF3,TRPV1,FMO1,ZEB1,CAMK2A,NR1H3,ST6GAL1,ZNF106,SLC8A1,FOXP1,PRKCZ,FYN
GO: Biological Process	GO:0032957	inositol trisphosphate metabolic process	 	3.311E-4	1.000E0	3.028E-2	2.667E-1	3	14	ITPKB,PTK2B,PLCG2
GO: Biological Process	GO:0006650	glycerophospholipid metabolic process	 	3.443E-4	1.000E0	3.028E-2	2.667E-1	11	315	INPP5D,AGPAT3,PITPNC1,PLA2G10,PLCG2,GPD1,TLR9,CD19,FYN,PIK3R5,INPP5J
GO: Biological Process	GO:1901699	cellular response to nitrogen compound	 	3.501E-4	1.000E0	3.028E-2	2.667E-1	16	598	ATP6V1G2,MYO1C,PARP1,SIK2,GNB1,PDGFC,GPD1,RALB,TRPV1,ZEB1,CAMK2A,TLR9,ZNF106,SLC8A1,PRKCZ,FYN
GO: Biological Process	GO:0002683	negative regulation of immune system process	 	3.565E-4	1.000E0	3.028E-2	2.667E-1	13	424	ABR,HLA-DOB,INPP5D,VPREB3,ITPKB,PTK2B,MAD1L1,NFKBIL1,BANK1,CNR1,LILRB4,NR1H3,TLR9
GO: Biological Process	GO:0051235	maintenance of location	 	3.632E-4	1.000E0	3.028E-2	2.667E-1	11	317	PTK2B,NFKBIE,NFKBIL1,PLA2G10,PLCG2,TRPV1,RASA3,NR1H3,SLC8A1,CD19,SORL1
GO: Biological Process	GO:0006644	phospholipid metabolic process	 	3.728E-4	1.000E0	3.041E-2	2.678E-1	13	426	INPP5D,AGPAT3,PITPNC1,PTK2B,PLA2G10,PLCG2,GPD1,TLR9,CD19,CD81,FYN,PIK3R5,INPP5J
GO: Biological Process	GO:0050864	regulation of B cell activation	 	4.431E-4	1.000E0	3.529E-2	3.109E-1	7	136	INPP5D,IKZF1,BANK1,TCF3,TLR9,TNFRSF13C,CD81
GO: Biological Process	GO:0051046	regulation of secretion	 	4.515E-4	1.000E0	3.529E-2	3.109E-1	19	802	ABR,SPTBN1,SYTL2,GATA3,VPREB3,BLK,PLA2G10,BANK1,CNR1,RALB,DPYSL2,TRPV1,CAMK2A,NR1H3,TLR9,PNKD,CELSR1,FOXP1,PRKCZ
GO: Biological Process	GO:0042116	macrophage activation	 	4.835E-4	1.000E0	3.703E-2	3.261E-1	5	65	PLA2G10,TRPV1,NR1H3,TLR9,FOXP1
GO: Biological Process	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	 	5.267E-4	1.000E0	3.936E-2	3.467E-1	29	1513	HDAC4,GATA3,ETV6,IRF2,IKZF1,PHF21A,PARP1,NFKBIE,NFKBIL1,ARID5B,USP7,PLA2G10,BAHCC1,LILRB4,TCF3,SET,TRPV1,ZEB1,PRICKLE1,TRIM31,NR1H3,E4F1,TLR9,RUNX2,CBFA2T3,TERF1,FOXP1,RERE,RIPPLY1
GO: Biological Process	GO:0045621	positive regulation of lymphocyte differentiation	 	5.351E-4	1.000E0	3.936E-2	3.467E-1	6	101	INPP5D,GATA3,IKZF1,ITPKB,RAG1,PRKCZ
GO: Biological Process	GO:0007265	Ras protein signal transduction	 	5.624E-4	1.000E0	4.058E-2	3.574E-1	11	334	ABR,ALS2CL,ITPKB,KSR1,RASGRP3,IQSEC1,GNA12,GNB1,RALB,RASA3,CELSR1
GO: Biological Process	GO:2000664	positive regulation of interleukin-5 secretion	 	5.899E-4	1.000E0	4.176E-2	3.678E-1	2	4	GATA3,PRKCZ
GO: Cellular Component	GO:0019898	extrinsic component of membrane	 	1.060E-4	3.900E-2	2.084E-2	1.352E-1	11	279	SYTL2,BLK,PTK2B,SNX8,GNA12,GNB1,WDFY4,FYN,PIK3R5,WIPI2,INPP5J
GO: Cellular Component	GO:0005923	bicellular tight junction	 	1.447E-4	5.325E-2	2.084E-2	1.352E-1	7	115	TBCD,MPP7,ARHGAP17,CLDN10,CLDN2,PRKCZ,CGNL1
GO: Cellular Component	GO:0070160	occluding junction	 	1.699E-4	6.251E-2	2.084E-2	1.352E-1	7	118	TBCD,MPP7,ARHGAP17,CLDN10,CLDN2,PRKCZ,CGNL1
GO: Cellular Component	GO:0043296	apical junction complex	 	3.230E-4	1.189E-1	2.972E-2	1.928E-1	7	131	TBCD,MPP7,ARHGAP17,CLDN10,CLDN2,PRKCZ,CGNL1
GO: Cellular Component	GO:0044430	cytoskeletal part	 	4.610E-4	1.696E-1	3.393E-2	2.201E-1	29	1523	HDAC4,MYO1C,NEK10,INPP5D,RPS6KA2,SPTBN1,TBC1D7,EML6,TUBB3,FMN1,MAD1L1,TTLL10,KLC1,TBCD,DCAF12,DPYSL2,IFT57,BRCC3,E4F1,TERF1,SLC8A1,RIC8B,IQCB1,DNM3,PRKCZ,CGNL1,FYN,PEA15,MYO16
GO: Cellular Component	GO:0015630	microtubule cytoskeleton	 	7.552E-4	2.779E-1	4.632E-2	3.004E-1	23	1128	NEK10,RPS6KA2,TBC1D7,EML6,TUBB3,FMN1,MAD1L1,TTLL10,KLC1,TBCD,DCAF12,DPYSL2,IFT57,SHMT2,BRCC3,E4F1,TERF1,SLC8A1,RIC8B,IQCB1,DNM3,PRKCZ,PEA15
GO: Cellular Component	GO:0070552	BRISC complex	 	9.480E-4	3.489E-1	4.984E-2	3.233E-1	2	5	SHMT2,BRCC3
Human Phenotype	HP:0002718	Recurrent bacterial infections {has_synonym_type="layperson"}	 	1.462E-5	7.166E-3	7.166E-3	4.853E-2	6	53	BLNK,RAG1,CD19,DCLRE1C,TNFRSF13C,CD81
Mouse Phenotype	MP:0005017	decreased B cell number	 	4.192E-14	1.208E-10	1.208E-10	1.032E-9	31	471	SPIB,INPP5D,BLNK,ETV6,IRF2,IKZF1,BLK,RASGRP3,NFKBIE,GNA12,CCR6,PLCG2,RAG1,RALB,TCF3,ZEB1,TCF12,RASA3,ARHGAP17,POU2F2,ST6GAL1,TLR9,RUNX2,CBFA2T3,CD19,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,FYN
Mouse Phenotype	MP:0002458	abnormal B cell number	 	2.944E-13	8.484E-10	3.254E-10	2.780E-9	34	614	SPIB,INPP5D,BLNK,ETV6,IRF2,IKZF1,BLK,RASGRP3,NFKBIE,GNA12,ATP11A,CCR6,PLCG2,BANK1,LILRB4,RAG1,RALB,TCF3,ZEB1,TCF12,RASA3,ARHGAP17,POU2F2,ST6GAL1,TLR9,RUNX2,CBFA2T3,CD19,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,FYN
Mouse Phenotype	MP:0008171	abnormal mature B cell morphology	 	3.388E-13	9.763E-10	3.254E-10	2.780E-9	34	617	SPIB,INPP5D,BLNK,ETV6,IRF2,IKZF1,BLK,RASGRP3,NFKBIE,GNA12,ATP11A,CCR6,PLCG2,BANK1,LILRB4,RAG1,RALB,TCF3,ZEB1,TCF12,RASA3,ARHGAP17,POU2F2,ST6GAL1,TLR9,RUNX2,CBFA2T3,CD19,DCLRE1C,TNFRSF13C,FOXP1,CD81,PRKCZ,FYN
